composer,kr_composer,songs
Ras,Ras,['STAGER']
Castellia,Castellia,['Little Munchkin']
Blacklolita,Blacklolita,['Sudden Appearance Image']
(G)I-DLE,(여자)아이들,"['TOMBOY', 'Nxde']"
Jehezukiel☆KAZEMURA☆Hideky,Jehezukiel☆KAZEMURA☆Hideky,"['Simon Says, EURODANCE!! (feat. Sara☆M)']"
IVE,아이브,"['After LIKE', 'ELEVEN']"
Doin,Doin,"['See', 'Cleaner', 'The Quick Brown Fox Jumps Over The Lazy Dog', 'Skeptic', 'Further', 'Vacuum', 'Iolite Sky', 'Napalm', 'Tepris', 'Removable Disk0', 'FFF', 'Vacuum Cleaner', 'Leather', 'Brown Sky', 'Leakage Voltage', 'Pine Nut', 'Interference', 'ASDF', 'Cleaner - SHORT CUT -', 'Interference - FULL SONG -', 'Trotpris - SHORT CUT -', 'FFF - SHORT CUT -']"
SHK,SHK,"['Euphorianic', 'Halloween Party ~Multiverse~', 'Switronic', 'Wedding Crashers', 'Super Fantasy', 'Violet Perfume', 'Follow me', 'Tropicanic', 'Last Rebirth', 'Take Out', 'Like Me', 'Super Capriccio', 'Euphorianic - SHORT CUT -', 'Death Moon', 'Reality', 'Destination', 'Imagination', 'Log In', 'Unique', 'Death Moon - SHORT CUT -', 'Wedding Crashers - SHORT CUT -', 'Native', 'Switronic - SHORT CUT -', 'Destination - SHORT CUT -', 'Super Fantasy - SHORT CUT -', 'Take Out - SHORT CUT -', 'Unique - SHORT CUT -']"
MAVE:,메이브,['PANDORA']
EmoCosine,EmoCosine,['Flavor Step!']
STAYC,스테이씨,['Teddy Bear']
WyvernP,WyvernP,"['Bluish Rose', 'Forgotten Vampire']"
t+pazolite,t+pazolite,"['Curiosity Overdrive', 'Slapstick Parfait']"
Lite Show Magic,Lite Show Magic,['TRICKL4SH 220']
MYUKKE.,MYUKKE.,['Yo! Say!! Fairy!!!']
HyuN,HyuN,"['iRELLiA', 'Cross Over feat. LyuU', 'CROSS RAY (feat. 月下Lia)', 'Macaron Day']"
BanYa,반야,"['Beethoven Virus', 'Canon D', 'Winter', 'Csikos Post', 'Mr. Larpus', 'Turkey March', 'Till the end of time', 'Extravaganza', 'CHICKEN WING', 'Pump Me Amadeus', 'Love is a Danger Zone', 'Rolling Christmas', 'Love is a Danger Zone pt. 2', 'Bee', 'Moonlight', 'Final Audition', 'Witch Doctor', 'Dr. M', 'Vook', 'Radetzky Can Can', 'Will-O-The-Wisp', 'Blazing', 'Papa Gonzales', 'Phantom', 'Maria', 'Final Audition Ep. 1', 'Solitary', 'Get Up', 'Monkey Fingers', 'Dance with me', 'Beat of The War 2', 'Emperor', 'Solitary 2', 'Come to Me', 'Beat of The War', 'She Likes Pizza', 'Final Audition 2', 'X-Tream', 'Top City', 'Final Audition 3', 'Hi Bi', 'Naissance', 'Love is a Danger Zone 2 Try To B.P.M', 'Betrayer', 'Oh! Rosa', 'D Gang', ""Miss S' story"", 'Get Your Groove On', 'My way', 'First Love', 'Oy Oy Oy', 'Jump', 'Set me up', 'Repeatorment Remix', 'Street show down', 'J Bong', 'With My Lover', 'Free Style', 'Point Break', 'Tream Vook of the war', 'Pumping Up', 'Love is a Danger Zone pt.2 [Another]', 'All I Want For X-mas', 'An Interesting View', 'Mission Possible', 'Hello', 'Pump Jump', 'Naissance 2', 'A Nightmare', 'N', 'Midnight Blue', 'BANYA HIPHOP REMIX', 'Banya Classic Remix', 'We will meet again', 'Close Your Eye']"
TAG underground overlay,TAG underground overlay,['Neo Catharsis']
Dreamcatcher,드림캐쳐,"['BOCA', 'YOU AND I', 'GOOD NIGHT', 'Chase Me', 'Full Moon', 'Fly high', 'GOOD NIGHT - FULL SONG -', 'Full Moon - FULL SONG -', 'Chase Me - FULL SONG -']"
