composer,kr_composer,songs,kr_songs
Ras,Ras,['STAGER'],['스테이저']
Castellia,Castellia,['Little Munchkin'],['리틀 먼치킨']
Blacklolita,Blacklolita,['Sudden Appearance Image'],['서든 어페어런스 이미지']
(G)I-DLE,(여자)아이들,"['TOMBOY', 'Nxde']","['톰보이', '누드']"
Jehezukiel☆KAZEMURA☆Hideky,Jehezukiel☆KAZEMURA☆Hideky,"['Simon Says, EURODANCE!! (feat. Sara☆M)']","['사이먼 세이즈, 유로댄스!! (feat. Sara☆M)']"
IVE,아이브,"['After LIKE', 'ELEVEN']","['애프터 라이크', '일레븐']"
Doin,Doin,"['See', 'Cleaner', 'The Quick Brown Fox Jumps Over The Lazy Dog', 'Skeptic', 'Further', 'Vacuum', 'Iolite Sky', 'Napalm', 'Tepris', 'Removable Disk0', 'FFF', 'Vacuum Cleaner', 'Leather', 'Brown Sky', 'Leakage Voltage', 'Pine Nut', 'Interference', 'ASDF', 'Cleaner - SHORT CUT -', 'Interference - FULL SONG -', 'Trotpris - SHORT CUT -', 'FFF - SHORT CUT -']","['시', '클리너', '다람쥐 헌 쳇바퀴에 타고파', '스켑틱', '퍼더', '진공', '아이올라이트 스카이', '네이팜', '테프리스', '리무버블 디스코', '에프 에프 에프', '진공 청소기', '리더', '하늘다람쥐', '리키지 볼티지', '잣', '인터퍼런스', 'ㅁㄴㅇㄹ', '클리너 - SHORT CUT -', '인터퍼런스 - FULL SONG -', '트롯프리스 - SHORT CUT -', '에프 에프 에프 - SHORT CUT -']"
SHK,SHK,"['Euphorianic', 'Halloween Party ~Multiverse~', 'Switronic', 'Wedding Crashers', 'Super Fantasy', 'Violet Perfume', 'Follow me', 'Tropicanic', 'Last Rebirth', 'Take Out', 'Like Me', 'Super Capriccio', 'Euphorianic - SHORT CUT -', 'Death Moon', 'Reality', 'Destination', 'Imagination', 'Log In', 'Unique', 'Death Moon - SHORT CUT -', 'Wedding Crashers - SHORT CUT -', 'Native', 'Switronic - SHORT CUT -', 'Destination - SHORT CUT -', 'Super Fantasy - SHORT CUT -', 'Take Out - SHORT CUT -', 'Unique - SHORT CUT -']","['유포리아닉', '할로윈 파티 ~Multiverse~', '스위트로닉', '웨딩 크래셔', '슈퍼 판타지', '바이올렛 퍼퓸', '팔로우 미', '트로피카닉', '라스트 리버스', '테이크 아웃', '라이크 미', '슈퍼 카프리시오', '유포리아닉 - SHORT CUT -', '사월', '리얼리티', '데스티네이션', '이미지네이션', '로그인', '유니크', '사월 - SHORT CUT -', '웨딩 크래셔 - SHORT CUT -', '네이티브', '스위트로닉 - SHORT CUT -', '데스티네이션 - SHORT CUT -', '슈퍼 판타지 - SHORT CUT -', '테이크 아웃 - SHORT CUT -', '유니크 - SHORT CUT -']"
MAVE:,메이브,['PANDORA'],['판도라']
EmoCosine,EmoCosine,['Flavor Step!'],['플레이버 스텝!']
STAYC,스테이씨,['Teddy Bear'],['테디베어']
WyvernP,WyvernP,"['Bluish Rose', 'Forgotten Vampire']","['블루이쉬 로즈', '포가튼 뱀파이어']"
t+pazolite,t+pazolite,"['Curiosity Overdrive', 'Slapstick Parfait']","['큐리아서티 오버드라이브', '슬랩스틱 파르페']"
Lite Show Magic,Lite Show Magic,['TRICKL4SH 220'],['트릭크래쉬 220']
MYUKKE.,MYUKKE.,['Yo! Say!! Fairy!!!'],['요! 세이!! 페어리!!!']
HyuN,HyuN,"['iRELLiA', 'Cross Over feat. LyuU', 'CROSS RAY (feat. 月下Lia)', 'Macaron Day']","['이렐리아', '크로스 오버 feat. LyuU', '크로스 레이 (feat. 月下Lia)', '마카롱 데이']"
BanYa,반야,"['Beethoven Virus', 'Canon D', 'Winter', 'Csikos Post', 'Mr. Larpus', 'Turkey March', 'Till the end of time', 'Extravaganza', 'CHICKEN WING', 'Pump Me Amadeus', 'Love is a Danger Zone', 'Rolling Christmas', 'Love is a Danger Zone pt. 2', 'Bee', 'Moonlight', 'Final Audition', 'Witch Doctor', 'Dr. M', 'Vook', 'Radetzky Can Can', 'Will-O-The-Wisp', 'Blazing', 'Papa Gonzales', 'Phantom', 'Maria', 'Final Audition Ep. 1', 'Solitary', 'Get Up', 'Monkey Fingers', 'Dance with me', 'Beat of The War 2', 'Emperor', 'Solitary 2', 'Come to Me', 'Beat of The War', 'She Likes Pizza', 'Final Audition 2', 'X-Tream', 'Top City', 'Final Audition 3', 'Hi Bi', 'Naissance', 'Love is a Danger Zone 2 Try To B.P.M', 'Betrayer', 'Oh! Rosa', 'D Gang', ""Miss S' story"", 'Get Your Groove On', 'My way', 'First Love', 'Oy Oy Oy', 'Jump', 'Set me up', 'Repeatorment Remix', 'Street show down', 'J Bong', 'With My Lover', 'Free Style', 'Point Break', 'Tream Vook of the war', 'Pumping Up', 'Love is a Danger Zone pt.2 [Another]', 'All I Want For X-mas', 'An Interesting View', 'Mission Possible', 'Hello', 'Pump Jump', 'Naissance 2', 'A Nightmare', 'N', 'Midnight Blue', 'BANYA HIPHOP REMIX', 'Banya Classic Remix', 'We will meet again', 'Close Your Eye']","['베토벤 바이러스', '캐논 디', '윈터', '우편마차', '미스터 라푸스', '터키 행진곡', '틸 디 엔드 오브 타임', '엑스트라바간자', '치킨 윙', '펌프 미 아마데우스', '러브 이즈 어 데인저 존', '롤링 크리스마스', '러브 이즈 어 데인저 존 pt.2', '비', '월광', '파이널 오디션', '위치 닥터', '닥터 엠', '부크', '라젠스키 캉캉', '윌 오 더 위스프', '블레이징', '파파 곤잘레스', '팬텀', '마리아', '파이널 오디션 에피소드 1', '무혼', '겟 업', '몽키 핑거즈', '댄스 위드 미', '비트 오브 더 워 2', '엠페러', '무혼 2', '컴 투 미', '비트 오브 더 워', '그녀는 피자를 좋아해', '파이널 오디션 2', '엑스트림', '탑 시티', '파이널 오디션 3', '하이 바이', '태동', '러브 이즈 어 데인저 존 2 Try To B.P.M', '사랑가', '오! 로사', '디 갱', '미스 에스 스토리', '겟 유어 그루브 온', '마이웨이', '첫사랑', '오이 오이 오이', '점프', '셋 미 업', '리피토먼트 리믹스', '스트리트 쇼다운', '제이 봉', '님과 함께', '프리 스타일', '포인트 브레이크', '트림 북 오브 더 워', '펌핑업', '러브 이즈 어 데인저 존 pt.2 어나더', '올 아이 원트 포 크리스마스', '서울구경', '미션 파서블', '헬로우', '펌프 점프', '태동 2', '악몽', '엔', '미드나잇 블루', '반야 힙합 리믹스', '반야 클래식 리믹스', '위 윌 밋 어게인', '눈을 감아']"
TAG underground overlay,TAG underground overlay,['Neo Catharsis'],['네오 카타르시스']
