song,version,song_type,kr_song,kr_song_proxy
STAGER,PHOENIX,Arcade,스테이저,스테이져
Little Munchkin,PHOENIX,Arcade,리틀 먼치킨,리틀 먼치킨
Sudden Appearance Image,PHOENIX,Arcade,서든 어페어런스 이미지,서든 어피어런스 이미지
TOMBOY,PHOENIX,Arcade,톰보이,톰보이
"Simon Says, EURODANCE!! (feat. Sara☆M)",PHOENIX,Arcade,"사이먼 세이즈, 유로댄스!! (feat. Sara☆M)",사이몬 세이즈
After LIKE,PHOENIX,Arcade,애프터 라이크,애프터 라이크
See,PHOENIX,Arcade,시,시
Euphorianic,PHOENIX,Arcade,유포리아닉,유포리아닉
ELEVEN,PHOENIX,Arcade,일레븐,일레븐
PANDORA,PHOENIX,Arcade,판도라,판도라
Flavor Step!,PHOENIX,Arcade,플레이버 스텝!,플레이버 스텝!
Teddy Bear,PHOENIX,Arcade,테디베어,테디베어
Nxde,PHOENIX,Arcade,누드,누드
Bluish Rose,PHOENIX,Arcade,블루이쉬 로즈,블루이쉬 로즈
Curiosity Overdrive,PHOENIX,Arcade,큐리아서티 오버드라이브,큐리어시티 오버드라이브
TRICKL4SH 220,PHOENIX,Arcade,트릭크래쉬 220,트릭래쉬
Yo! Say!! Fairy!!!,PHOENIX,Arcade,요! 세이!! 페어리!!!,요 세이 페어리
iRELLiA,PHOENIX,Arcade,이렐리아,이렐리아
Beethoven Virus,1st - Zero,Arcade,베토벤 바이러스,베토벤 바이러스
Neo Catharsis,PHOENIX,Arcade,네오 카타르시스,네오 카타르시스
BOCA,PHOENIX,Arcade,보카,보카
MilK,PHOENIX,Arcade,밀크,밀크
PUPA,PHOENIX,Arcade,푸파,푸파
Bad Apple!! feat. Nomico,PRIME - PRIME 2,Arcade,배드 애플!! feat. Nomico,배드 애플!! feat. Nomico
Pneumonoultramicroscopicsilicovolcanoconiosis ft. Kagamine Len/GUMI,PHOENIX,Arcade,진폐증 ft. Kagamine Len/GUMI,진폐증 ft. Kagamine Len/GUMI
Halloween Party ~Multiverse~,PHOENIX,Arcade,할로윈 파티 ~Multiverse~,할로윈 파티 ~Multiverse~
Airplane,PHOENIX,Arcade,비행기,비행기
Amor Fati,PHOENIX,Arcade,아모르 파티,아모르 파티
Etude Op 10-4,PHOENIX,Arcade,추격,추격
VECTOR,PHOENIX,Arcade,벡터,벡터
MURDOCH,PHOENIX,Arcade,머독,머독
Acquire,PHOENIX,Arcade,어콰이어,어콰이어
STORM,PHOENIX,Arcade,스톰,스톰
Versailles,PHOENIX,Arcade,베르사이유,베르사유
GOODTEK,PHOENIX,Arcade,굿텍,굿텍
Viyella's Nightmare,PHOENIX,Arcade,비옐라의 악몽,비엘라의 악몽
GOODBOUNCE,PHOENIX,Arcade,굿바운스,굿바운스
Pirate,PHOENIX,Arcade,파이렛,파이렛
WHISPER,PHOENIX,Arcade,위스퍼,위스퍼
R.I.P,PHOENIX,Arcade,R.I.P,R.I.P
Energy Synergy Matrix,PHOENIX,Arcade,에너지 시너지 매트릭스,ESM
BRAIN POWER,XX,Arcade,브레인 파워,브레인 파워
Barber's Madness,PHOENIX,Arcade,바버스 매드니스,이발사의 광기
8 6,XX,Arcade,8 6,86
Aragami,PHOENIX,Arcade,아라가미,아라가미
YOU AND I,XX,Arcade,유 앤 아이,유앤아이
Altale,PHOENIX,Arcade,알테일,알테일
KUGUTSU,PHOENIX,Arcade,꼭두각시,꼭두각시
BOOOM!!,PHOENIX,Arcade,붐!!,붐!!
Switronic,XX,Arcade,스위트로닉,스위트로닉
GOOD NIGHT,PRIME - PRIME 2,Arcade,굿 나이트,굿 나이트
Mopemope,XX,Arcade,모페모페,자폐자폐
Wedding Crashers,XX,Arcade,웨딩 크래셔,웨딩 크래셔
Chase Me,PRIME - PRIME 2,Arcade,체이스 미,체이스 미
Showdown,PHOENIX,Arcade,쇼다운,쇼다운
BATTLE NO.1,PHOENIX,Arcade,배틀 넘버원,배틀 넘버원
Spray,PHOENIX,Arcade,스프레이,스프레이
Jogging,XX,Arcade,조깅,조깅
Ghroth,PHOENIX,Arcade,그로스,그로스
Full Moon,XX,Arcade,풀 문,풀 문
Jupin,PHOENIX,Arcade,쥬핀,주핀
Super Fantasy,PRIME - PRIME 2,Arcade,슈퍼 판타지,슈퍼 판타지
Lacrimosa,PHOENIX,Arcade,라크리모사,라크리모사
Alone,PHOENIX,Arcade,얼론,얼론
Ultimatum,XX,Arcade,얼티메이텀,얼티메이텀
Galaxy Collapse,PHOENIX,Arcade,갤럭시 컬랩스,갤럭시 콜랩스
Beautiful Liar,PHOENIX,Arcade,뷰티플라이어,뷰티플라이어
CHAOS AGAIN,PHOENIX,Arcade,카오스 어게인,카오스 어게인
Violet Perfume,PRIME - PRIME 2,Arcade,바이올렛 퍼퓸,바이올렛 퍼퓸
Fly high,XX,Arcade,날아올라,날아올라
Halcyon,PHOENIX,Arcade,할시온,할시온
Sugar Conspiracy Theory,PRIME - PRIME 2,Arcade,설탕음모론,설탕음모론
Papasito (feat.  KuTiNA),XX,Arcade,파파시토 (feat. KuTiNA),파파시토 (feat. KuTiNA)
Sorceress Elise,FIESTA - FIESTA 2,Arcade,소서리스 엘리제,소서리스 엘리제
Dignity,1st - Zero,Arcade,디그니티,디그니티
Lohxia,PHOENIX,Arcade,록시아,록씨아
GLORIA,XX,Arcade,글로리아,글로리아
Cross Over feat. LyuU,PRIME - PRIME 2,Arcade,크로스 오버 feat. LyuU,크로스 오버 feat. LyuU
Follow me,FIESTA - FIESTA 2,Arcade,팔로우 미,팔로우 미
Yeo rae a,FIESTA - FIESTA 2,Arcade,여래아,여래아
Nakakapagpabagabag,PRIME - PRIME 2,Arcade,꺼림칙한,꺼림칙한
F(R)IEND,XX,Arcade,프렌드,프렌드
Sarabande,PRIME - PRIME 2,Arcade,사라반드,사라반드
Dement ~After Legend~,XX,Arcade,디멘트 ~에프터 레전드~,디멘트 ~에프터 레전드~
Chimera,NX - NXA,Arcade,키메라,키메라
Gargoyle,FIESTA - FIESTA 2,Arcade,가고일,가고일
