song,version,song_type
STAGER,PHOENIX,Arcade
Little Munchkin,PHOENIX,Arcade
Sudden Appearance Image,PHOENIX,Arcade
TOMBOY,PHOENIX,Arcade
"Simon Says, EURODANCE!! (feat. Sara☆M)",PHOENIX,Arcade
After LIKE,PHOENIX,Arcade
See,PHOENIX,Arcade
Euphorianic,PHOENIX,Arcade
ELEVEN,PHOENIX,Arcade
PANDORA,PHOENIX,Arcade
Flavor Step!,PHOENIX,Arcade
Teddy Bear,PHOENIX,Arcade
Nxde,PHOENIX,Arcade
Bluish Rose,PHOENIX,Arcade
Curiosity Overdrive,PHOENIX,Arcade
TRICKL4SH 220,PHOENIX,Arcade
Yo! Say!! Fairy!!!,PHOENIX,Arcade
iRELLiA,PHOENIX,Arcade
Beethoven Virus,1st - Zero,Arcade
Neo Catharsis,PHOENIX,Arcade
BOCA,PHOENIX,Arcade
MilK,PHOENIX,Arcade
PUPA,PHOENIX,Arcade
Bad Apple!! feat. Nomico,PRIME - PRIME 2,Arcade
Pneumonoultramicroscopicsilicovolcanoconiosis ft. Kagamine Len/GUMI,PHOENIX,Arcade
Halloween Party ~Multiverse~,PHOENIX,Arcade
Airplane,PHOENIX,Arcade
Amor Fati,PHOENIX,Arcade
Etude Op 10-4,PHOENIX,Arcade
VECTOR,PHOENIX,Arcade
MURDOCH,PHOENIX,Arcade
Acquire,PHOENIX,Arcade
STORM,PHOENIX,Arcade
Versailles,PHOENIX,Arcade
GOODTEK,PHOENIX,Arcade
Viyella's Nightmare,PHOENIX,Arcade
GOODBOUNCE,PHOENIX,Arcade
Pirate,PHOENIX,Arcade
WHISPER,PHOENIX,Arcade
R.I.P,PHOENIX,Arcade
Energy Synergy Matrix,PHOENIX,Arcade
BRAIN POWER,XX,Arcade
Barber's Madness,PHOENIX,Arcade
8 6,XX,Arcade
Aragami,PHOENIX,Arcade
YOU AND I,XX,Arcade
Altale,PHOENIX,Arcade
KUGUTSU,PHOENIX,Arcade
BOOOM!!,PHOENIX,Arcade
Switronic,XX,Arcade
GOOD NIGHT,PRIME - PRIME 2,Arcade
Mopemope,XX,Arcade
Wedding Crashers,XX,Arcade
Chase Me,PRIME - PRIME 2,Arcade
Showdown,PHOENIX,Arcade
BATTLE NO.1,PHOENIX,Arcade
Spray,PHOENIX,Arcade
Jogging,XX,Arcade
Ghroth,PHOENIX,Arcade
Full Moon,XX,Arcade
Jupin,PHOENIX,Arcade
Super Fantasy,PRIME - PRIME 2,Arcade
Lacrimosa,PHOENIX,Arcade
Alone,PHOENIX,Arcade
Ultimatum,XX,Arcade
Galaxy Collapse,PHOENIX,Arcade
Beautiful Liar,PHOENIX,Arcade
CHAOS AGAIN,PHOENIX,Arcade
Violet Perfume,PRIME - PRIME 2,Arcade
Fly high,XX,Arcade
Halcyon,PHOENIX,Arcade
Sugar Conspiracy Theory,PRIME - PRIME 2,Arcade
Papasito (feat.  KuTiNA),XX,Arcade
Sorceress Elise,FIESTA - FIESTA 2,Arcade
Dignity,1st - Zero,Arcade
Lohxia,PHOENIX,Arcade
GLORIA,XX,Arcade
Cross Over feat. LyuU,PRIME - PRIME 2,Arcade
