index,song,kr_song,kr_song_proxy,composer,kr_composer,bpm,main_bpm,version,song_type
CS683,STAGER,스테이저,스테이져,Ras,Ras,146,146,PHOENIX,Arcade
CS360,Little Munchkin,리틀 먼치킨,리틀 먼치킨,Castellia,Castellia,180,180,PHOENIX,Arcade
CS362,Sudden Appearance Image,서든 어페어런스 이미지,서든 어피어런스 이미지,Blacklolita,Blacklolita,170,170,PHOENIX,Arcade
CS823,TOMBOY,톰보이,톰보이,(G)I-DLE,N/A,124,124,PHOENIX,Arcade
CS361,"Simon Says, EURODANCE!! (feat. Sara☆M)","사이먼 세이즈, 유로댄스!! (feat. Sara☆M)",사이몬 세이즈,Jehezukiel☆KAZEMURA☆Hideky,Jehezukiel☆KAZEMURA☆Hideky,157,157,PHOENIX,Arcade
CS815,After LIKE,애프터 라이크,애프터 라이크,IVE,아이브,125,125,PHOENIX,Arcade
CS359,See,시,시,Doin,Doin,293,293,PHOENIX,Arcade
CS342,Euphorianic,유포리아닉,유포리아닉,SHK,SHK,140,140,PHOENIX,Arcade
CS821,ELEVEN,일레븐,일레븐,IVE,아이브,120,120,PHOENIX,Arcade
CS824,PANDORA,판도라,판도라,MAVE:,메이브,75,75,PHOENIX,Arcade
CS357,Flavor Step!,플레이버 스텝!,플레이버 스텝!,EmoCosine,EmoCosine,150,150,PHOENIX,Arcade
CS812,Teddy Bear,테디베어,테디베어,STAYC,스테이씨,119,119,PHOENIX,Arcade
CS811,Nxde,누드,누드,(G)I-DLE,N/A,136,136,PHOENIX,Arcade
CS358,Bluish Rose,블루이쉬 로즈,블루이쉬 로즈,WyvernP,WyvernP,130,130,PHOENIX,Arcade
CS356,Curiosity Overdrive,큐리아서티 오버드라이브,큐리어시티 오버드라이브,t+pazolite,N/A,192,192,PHOENIX,Arcade
CS682,TRICKL4SH 220,트릭크래쉬 220,트릭래쉬,Lite Show Magic,Lite Show Magic,220,220,PHOENIX,Arcade
CS355,Yo! Say!! Fairy!!!,요! 세이!! 페어리!!!,요! 세이!! 페어리!!!,MYUKKE.,MYUKKE.,150,150,PHOENIX,Arcade
CS680,iRELLiA,이렐리아,이렐리아,HyuN,HyuN,204,204,PHOENIX,Arcade
CS017,Beethoven Virus,베토벤 바이러스,베토벤 바이러스,BanYa,반야,162,162,1st - Zero,Arcade
CS354,Neo Catharsis,네오 카타르시스,네오 카타르시스,TAG underground overlay,TAG underground overlay,120~300,120~300,PHOENIX,Arcade
CS810,BOCA,보카,보카,Dreamcatcher,드림캐쳐,200,200,PHOENIX,Arcade
CS669,MilK,밀크,밀크,Morimori Atsushi,Morimori Atsushi,150,150,PHOENIX,Arcade
CS681,PUPA,푸파,푸파,Morimori Atsushi,Morimori Atsushi,202,202,PHOENIX,Arcade
CS633,Bad Apple!! feat. Nomico,배드 애플!! feat. Nomico,배드 애플!! feat. Nomico,Masayoshi Minoshima,Masayoshi Minoshima,138,138,PRIME - PRIME 2,Arcade
