song,composer,kr_song,kr_song_proxy
STAGER,Ras,스테이저,스테이져
Little Munchkin,Castellia,리틀 먼치킨,리틀 먼치킨
Sudden Appearance Image,Blacklolita,서든 어페어런스 이미지,서든 어피어런스 이미지
TOMBOY,(G)I-DLE,톰보이,톰보이
"Simon Says, EURODANCE!! (feat. Sara☆M)",Jehezukiel☆KAZEMURA☆Hideky,"사이먼 세이즈, 유로댄스!! (feat. Sara☆M)","사이몬 세이즈"
After LIKE,IVE,애프터 라이크,애프터 라이크
See,Doin,시,시
Euphorianic,SHK,유포리아닉,유포리아닉
ELEVEN,IVE,일레븐,일레븐
PANDORA,MAVE:,판도라,판도라
Flavor Step!,EmoCosine,플레이버 스텝!,플레이버 스텝!
Teddy Bear,STAYC,테디베어,테디베어
Nxde,(G)I-DLE,누드,누드
Bluish Rose,WyvernP,블루이쉬 로즈,블루이쉬 로즈
Curiosity Overdrive,t+pazolite,큐리아서티 오버드라이브,큐리어시티 오버드라이브
TRICKL4SH 220,Lite Show Magic,트릭크래쉬 220,트릭래쉬
Yo! Say!! Fairy!!!,MYUKKE.,요! 세이!! 페어리!!!,요! 세이!! 페어리!!!
iRELLiA,HyuN,이렐리아,이렐리아
Beethoven Virus,BanYa,베토벤 바이러스,베토벤 바이러스
Neo Catharsis,TAG underground overlay,네오 카타르시스,네오 카타르시스
BOCA,Dreamcatcher,보카,보카
MilK,Morimori Atsushi,밀크,밀크
PUPA,Morimori Atsushi,푸파,푸파
Bad Apple!! feat. Nomico,Masayoshi Minoshima,배드 애플!! feat. Nomico,배드 애플!! feat. Nomico
Pneumonoultramicroscopicsilicovolcanoconiosis ft. Kagamine Len/GUMI,DASU,진폐증 ft. Kagamine Len/GUMI,진폐증 ft. Kagamine Len/GUMI
Halloween Party ~Multiverse~,SHK,할로윈 파티 ~Multiverse~,할로윈 파티 ~Multiverse~
Airplane,TYPHOON,비행기,비행기
Amor Fati,Yeon Ja Kim,아모르 파티,아모르 파티
Etude Op 10-4,MAX,추격,추격
VECTOR,Zekk,벡터,벡터
MURDOCH,WONDERTRAVELER Project,머독,머독
Acquire,ryhki,어콰이어,어콰이어
STORM,KOYOTE,스톰,스톰
Versailles,HyuN & MIIM,베르사이유,베르사유
GOODTEK,EBIMAYO,굿텍,굿텍
Viyella's Nightmare,Laur,비옐라의 악몽,비엘라의 악몽
GOODBOUNCE,EBIMAYO,굿바운스,굿바운스
Pirate,EVERGLOW,파이렛,파이렛
WHISPER,THE BOYZ,위스퍼,위스퍼
R.I.P,eicateve,R.I.P,R.I.P
Energy Synergy Matrix,Tanchiky,에너지 시너지 매트릭스,ESM
BRAIN POWER,NOMA,브레인 파워,브레인 파워
Barber's Madness,Klass E,바버스 매드니스,이발사의 광기
8 6,DASU,8 6,86
Aragami,xi,아라가미,아라가미
YOU AND I,Dreamcatcher,유 앤 아이,유앤아이
Altale,sakuzyo,알테일,알테일
KUGUTSU,onoken,꼭두각시,꼭두각시
BOOOM!!,RiraN,붐!!,붐!!
Switronic,SHK,스위트로닉,스위트로닉
GOOD NIGHT,Dreamcatcher,굿 나이트,굿 나이트
Mopemope,LeaF,모페모페,자폐자폐
Wedding Crashers,SHK,웨딩 크래셔,웨딩 크래셔
Chase Me,Dreamcatcher,체이스 미,체이스 미
Showdown,litmus*,쇼다운,쇼다운
BATTLE NO.1,TANO*C Sound Team,배틀 넘버원,배틀 넘버원
Spray,WEi,스프레이,스프레이
Jogging,LUCY,조깅,조깅
Ghroth,nato,그로스,그로스
Full Moon,Dreamcatcher,풀 문,풀 문
Jupin,Sobrem,쥬핀,주핀
Super Fantasy,SHK,슈퍼 판타지,슈퍼 판타지
Lacrimosa,Fiverwater,라크리모사,라크리모사
Alone,Highlight,얼론,얼론
Ultimatum,Cosmograph,얼티메이텀,얼티메이텀
Galaxy Collapse,Kurokotei,갤럭시 컬랩스,갤럭시 콜랩스
Beautiful Liar,MONSTA X,뷰티플라이어,뷰티플라이어
CHAOS AGAIN,NAOKI underground -Ω-,카오스 어게인,카오스 어게인
Violet Perfume,SHK,바이올렛 퍼퓸,바이올렛 퍼퓸
Fly high,Dreamcatcher,날아올라,날아올라
Halcyon,xi,할시온,할시온
Sugar Conspiracy Theory,MAX,설탕음모론,설탕음모론
Papasito (feat. KuTiNA),Yakikaze & Cashew,파파시토 (feat. KuTiNA),파파시토 (feat. KuTiNA)
Sorceress Elise,YAHPP,소서리스 엘리제,소서리스 엘리제
Dignity,Crash,디그니티,디그니티
Lohxia,The Musical Ghost,록시아,록씨아
GLORIA,Croire,글로리아,글로리아
Cross Over feat. LyuU,HyuN,크로스 오버 feat. LyuU,크로스 오버 feat. LyuU
Follow me,SHK,팔로우 미,팔로우 미
Yeo rae a,SID-SOUND,여래아,여래아
Nakakapagpabagabag,Dasu feat. Kagamine Len,꺼림칙한,꺼림칙한
F(R)IEND,D_AAN,프렌드,프렌드
Sarabande,MAX,사라반드,사라반드
Dement ~After Legend~,Lunatic Sounds,디멘트 ~에프터 레전드~,디멘트 ~에프터 레전드~
Chimera,YAHPP,키메라,키메라
Gargoyle,Sanxion7,가고일,가고일
Tantanmen,Memme,탄탄멘,탄탄멘
ESCAPE,D_AAN,이스케이프,이스케이프
Cross Time,Brandy,크로스 타임,크로스 타임
Tropicanic,SHK,트로피카닉,트로피카닉
Elise,DM Ashura,엘리제,엘리제
Kokugen Kairou Labyrinth,A:llha (ANE + 2riA),시간의 회랑 라비린스,시간의 회랑 라비린스
A Site De La Rue,STREME REVERIE,어 사이트 데 라 루,데라루
Re：End of a Dream,uma vs. Morimori Atsushi,Re：엔드 오브 어 드림,리 엔드
BSPower Explosion,Memme,BS파워 익스플로전,병신력 폭발
Phalanx RS2018 edit,Cranky,팔랑크스 RS2018 edit,팔랑크스 RS2018 edit
Stardream (feat. Romelon),Cashew,스타드림 (feat. Romelon),스타드림 (feat. Romelon)
Paved Garden,Ginkiha,페이브 가든,페이브 가든
VANISH,Applesoda,배니쉬,베니쉬
Canon D,BanYa,캐논 디,캐논디
Last Rebirth,SHK,라스트 리버스,라스트 리버스
CROSS RAY (feat. 月下Lia),HyuN,크로스 레이 (feat. 月下Lia),크로스 레이 (feat. 月下Lia)
Achluoias,D_AAN,아클루오이아스,아클루오이아스
Indestructible,Matduke,인디스트럭터블,럭키볼
Keep On!,雨漏りＰ/ AmamoriP,킵 온!,킵 온!
Crossing Delta,t+pazolite+Ginkiha+Hommarju,크로싱 델타,크로싱 델타
Imprinting,Sakuzyo,임프린팅,임프린팅
Nyarlathotep,Nato,니알라토텝,니알라토텝
HEART RABBIT COASTER,Nato,하트 래빗 코스터,하래코
Shub Niggurath,Nato,슈브 니구라스,슈브 니구라스
Can-can ~Orpheus in The Party Mix~,Sr. Lan Belmont,캉-캉 ~Orpheus in The Party Mix~,캉캉 오르페우스 
CROSS SOUL,HyuN feat. Syepias,크로스 소울,크로스 소울
Forgotten Vampire,WyvernP,포가튼 뱀파이어,포가튼 뱀파이어
Rock the house,Matduke,락 더 하우스,락 더 하우스
The Reverie,uma,더 레버리,더 레버리
DESTRUCIMATE,KURORAK,파괴,파괴
CO5M1C R4ILR0AD,kanone,코스믹 레일로드,코스믹 레일로드
Repentance,Abel,리펜턴스,리펜턴스
Le Grand Bleu,KIEN,라 그랑 블루,라 그랑 블루
Winter,BanYa,윈터,윈터
Loki,Lotze,로키,로키
Gargoyle - FULL SONG -,Sanxion7,가고일 - FULL SONG -,풀고일
Club Night,Matduke,클럽 나이트,클럽 나이트
Csikos Post,BanYa,우편마차,우편마차
Sugar Plum,Mr. Weq,슈가 플럼,슈가 플럼
Another Truth,Novasonic,또다른 진심,또다른 진심
Cleaner,Doin,클리너,클리너
The Quick Brown Fox Jumps Over The Lazy Dog,Doin,다람쥐 헌 쳇바퀴에 타고파,다람쥐 헌 쳇바퀴에 타고파
Skeptic,Doin,스켑틱,스켑틱
Mr. Larpus,BanYa,미스터 라푸스,미스터 라푸스
Passacaglia,SynthWulf,파사칼리아,파사칼리아
Ignis Fatuus(DM Ashura Mix),BanYa & DM Ashura,이그니스 패터스(DM Ashura 믹스),이그니스 패터스(DM Ashura 믹스)
Avalanche,Memme,아발란치,아발란치
Hellfire,Memme,헬파이어,헬파이어
Telling Fortune Flower,Koharu feat. Renyata,텔링 포츈 플라워,텔링 포츈 플라워
Timing,HIGHTEEN,타이밍,타이밍
Cygnus,nato,시그너스,시그너스
Yog-Sothoth,Nato,요그 소토스,요그 소토스
Twist of Fate (feat. Ruriling),Jehezukiel,트위스트 오브 페이트 (feat. Ruriling),트위스트 오브 페이트 (feat. Ruriling)
Further,Doin,퍼더,퍼더
The Devil,Banya Production,마왕,마왕
Slam,Novasonic,슬램,슬램
8 6 - FULL SONG -,DASU,8 6 - FULL SONG -,86 풀
Just Hold On (To All Fighters),void,저스트 홀드 온 (To All Fighters),젓솔돈
1950,SLAM,1950,1950
Take Out,SHK,테이크 아웃,테이크 아웃
Windmill,Yak Won,윈드밀,윈드밀
Like Me,SHK,라이크 미,라이크 미
Turkey March,BanYa,터키 행진곡,터키 행진곡
After a thousand years,TOTO,천년이 지나서,천년이 지나서
Super Capriccio,SHK,슈퍼 카프리시오,슈퍼 카프리시오
Tales of Pumpnia,Applesoda,테일즈 오브 펌프니아,테일즈 오브 펌프니아
Scorpion King,r300k,스콜피온 킹,스콜피온 킹
Clematis Rapsodia,Jehezukiel,클레마티스 랩소디아,클레마티스 랩소디아
Obelisque,ESTi x M2U,오벨리스크,오벨리스크
Vacuum,Doin,진공,진공
Harmagedon,HyuN vs lixound,아마겟돈,아마겟돈
Hardkore of the North,Diclonius Kid,하드코어 오브 더 노스,하드코어 오브 더 노스
Travel to future,Neutral Moon ,트래블 투 퓨처,트레벨 투 퓨처
POINT ZERO 2,SYNTHWULF,포인트 제로 2,포인트 제로 2
Uranium,Memme,우라늄,우라늄
Till the end of time,BanYa,틸 디 엔드 오브 타임,틸 디 엔드 오브 타임
Annihilator Method,DM Ashura,어나이얼레이터 메소드,어나이얼레이터 메소드
Iolite Sky,Doin,아이올라이트 스카이,아이올라이트 스카이
Love Is A Danger Zone(Cranky Mix),BanYa & Cranky,러브 이즈 어 데인저 존(Cranky 믹스),러브 이즈 어 댄저 존(Cranky 믹스)
Life is PIANO,Junk,라이프 이즈 피아노,라이프 이즈 피아노
Rising Star,M2U,라이징 스타,라이징 스타
Allegro Con Fuoco,DM Ashura,알레그로 콘 뿌오코,알레그로 콘 뿌오코
Headless Chicken,r300k,헤드리스 치킨,헤드리스 치킨
Euphorianic - SHORT CUT -,SHK,유포리아닉 - SHORT CUT -,유포리아닉 - SHORT CUT -
Houseplan,Houseplan,하우스플랜,하우스플랜
Smile Diary,you,스마일 다이어리,스마일 다이어리
1949,SLAM,1949,1949
Extravaganza,BanYa,엑스트라바간자,해파리
INFINITY,Lunatic Sounds,인피니티,인피니티
I Want U,MAX,아이 원트 유,아이 원트 유
Desaparecer,Applesoda vs MAX,데사파레세르,데사파레세르
Kasou Shinja仮装信者,MAX,가장신자,가장신자
Xeroize,FE,제로아이즈,제로아이즈
Death Moon,SHK,사월,사월
Sudden Romance [PIU Edit],void,서든 로맨스 [PIU Edit],서든 로맨스 [PIU Edit]
Pop Sequence,Hommarju,팝 시퀀스,팝 시퀀스
Queen Of The Red,ETIA.,퀸 오브 더 레드,퀸 오브 더 레드
Ice of Death,Fiverwater,아이스 오브 데스,아이스 오브 데스
Kimchi Fingers,Garlic Squad,김치 핑거즈,김치 핑거즈
Arcana Force,mzet:-P,아르카나 포스,아르카나 포스
Nemesis,M2U,네메시스,네메시스
Adrenaline Blaster,QWertism,아드레날린 블래스터,아드레날린 블래스터
Broken Karma (PIU EDIT),Quree,브로큰 카르마 (PIU EDIT),브로큰 카르마 (PIU EDIT)
Slapstick Parfait,t+pazolite,슬랩스틱 파르페,슬랩스틱 파르페
CARMEN BUS,StaticSphere & FUGU SUISAN,까르멘 버스,까르멘 버스
HTTP,Quree,HTTP,HTTP
Ragnarok,SynthWulf,라그나로크,라그나로크
V3,BeautifulDay,V3,V3
Moment Day,MAX,모멘트 데이,모멘트 데이
Bad Apple!! feat. Nomico - FULL SONG -,Masayoshi Minoshima,배드 애플!! feat. Nomico - FULL SONG -,배드 애플!! feat. Nomico - FULL SONG -
BEDLAM,SANY-ON,베들램,베들램
District 1,MAX,디스트릭트 1,디스트릭트 1
Dual Racing <RED vs BLUE>,Nato & r300k,듀얼 레이싱 <레드 vs 블루>,듀얼 레이싱 <레드 vs 블루>
Reality,SHK,리얼리티,리얼리티
The End of the World ft. Skizzo,MonstDeath,디 엔드 오브 더 월드 ft. Skizzo,디 엔드 오브 더 월드 ft. Skizzo
CHICKEN WING,BanYa,치킨 윙,치킨 윙
Allegro furioso,DM ashura,알레그로 퓨리오소,알레그로 퓨리오소
Pumptris Quattro,YAHPP,펌트리스 꽈뜨로,펌트리스 꽈뜨로
Baroque Virus,Zircon,바로크 바이러스,바로크 바이러스
The Festival of Ghost2 (Sneak),Brandy,유령의 축제 2 (Sneak),유령의 축제 2 (Sneak)
Xuxa,Smiley,슈샤,슈샤
Lepton Strike,Nato,립톤 스트라이크,립톤 스트라이크
Your Mind,Roy Mikelate,유어 마인드,유어 마인드
MATADOR,Cranky,마타도르,마타도르
Poseidon,Quree,포세이돈,포세이돈
What Happened,Throwdown,왓 해픈드,왓 해픈드
Pump Me Amadeus,BanYa,펌프 미 아마데우스,펌프 미 아마데우스
Waltz of Doge,Cashew,왈츠 오브 도지,왈츠 오브 도지
JANUS,MAX,야누스,야누스
Reminiscence,MAX,레미니센스,레미니센스
Wicked Legend,D_AAN,위키드 레전드,위키드 레전드
PRIME,Tatsh,프라임,프라임
Love is a Danger Zone,BanYa,러브 이즈 어 데인저 존,러브 이즈 어 댄저 존
Awakening,typeMARS,어웨이크닝,어웨이크닝
God Mode feat. Skizzo,Nato,갓 모드 feat. Skizzo,갓 모드 feat. Skizzo
Christmas Memories,Warak,크리스마스의 기억,크리스마스의 기억
Necromancy,Zircon,네크로맨시,네크로맨시
Black Swan,zeron,블랙스완,블랙스완
Transacaglia in G-minor,ATAS,트란사칼리아,트란사칼리아
Danger & Danger,Cranky,데인저 & 데인저,댄저 & 댄저
Point Zero One,SynthWulf,포인트 제로 원,포인트 제로 원
Rolling Christmas,BanYa,롤링 크리스마스,롤링 크리스마스
Rage of Fire,MAX,레이지 오브 파이어,레이지 오브 파이어
THE REVOLUTION,MAX & DOOM,더 레볼루션,더 레볼루션
Campanella,Cashew,캄파넬라,캄파넬라
Love is a Danger Zone pt. 2,BanYa,러브 이즈 어 데인저 존 pt.2,러브 이즈 어 댄저 존 pt.2
Nihilism - Another Ver.-,Nato,니힐리즘 - 어나더 버전 -,니힐리즘 - 어나더 버전 -
Butterfly,MAX & Rorychesell(SID-SOUND),버터플라이,버터플라이
Prime Time,Cashew,프라임 타임,프라임 타임
Ugly Dee,Banya Production,미운 오리새끼,미운 오리새끼
Red Snow,Cashew,레드 스노우,레드 스노우
Bee,BanYa,비,비
Feel My Happiness,3R2,필 마이 해피니스,필 마이 해피니스
Moonlight,BanYa,월광,월광
